Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,27.78,28.16,27.97,-1.32,-3.54,0,0
0.54,26.93,27.93,27.43,-0.91,-3.69,0,0
0.54,26.57,27.72,27.14,-0.73,-4.11,0,0
0.54,26.25,27.51,26.88,-0.57,-4.64,0,0
0.54,25.91,27.27,26.59,-0.35,-5.08,0,0
0.54,25.56,27.03,26.29,-0.15,-5.59,0,0
0.54,25.21,26.77,25.99,0.06,-6.03,0,0
0.54,24.85,26.51,25.68,0.26,-6.55,0,0
0.54,24.86,26.31,25.58,0.28,-4.97,0,0
0.54,23.99,26.11,25.05,0.56,-3.18,0,0
0.54,24,25.89,24.95,0.63,-2.54,0,0
20.74,24,26.1,25.05,-1.39,-1.51,-0.04,10.21
27.16,24,26.99,25.49,-4.84,0.27,0.2,10.21
34.75,24,27.98,25.99,-5.9,2.07,2.66,10.21
38.95,24,28.65,26.33,-4.69,3.61,4.41,10.21
40.25,24,29.04,26.52,-3.54,4.14,3.52,10.21
41.56,24,29.3,26.65,-3.11,4,3.96,10.21
41.6,24,29.35,26.67,-2.32,3.25,2.37,10.21
41.72,24,29.2,26.6,-2,2.73,4.12,10.21
41.03,24,29.33,26.66,-3.16,2.31,2.83,10.21
41.5,24,29.41,26.71,-3.1,2.24,3.65,10.21
36.96,24,29.16,26.58,-1.59,1.89,1.04,10.21
32.04,24,28.51,26.26,0.13,1.38,0.46,10.21
10.01,28.18,28.32,28.25,-1.37,-2.43,0,0
0.54,27.85,28.29,28.07,-1.33,-3.11,0,0
0.54,27.07,28.05,27.56,-0.96,-3.58,0,0
0.54,26.67,27.82,27.25,-0.75,-4.15,0,0
0.54,26.29,27.58,26.94,-0.54,-4.85,0,0
0.54,25.93,27.34,26.63,-0.33,-5.25,0,0
0.54,25.66,27.11,26.39,-0.2,-5.51,0,0
0,25.48,26.9,26.19,-0.08,-5.26,0,0
0.54,25.39,26.72,26.05,-0.03,-4.91,0,0
0.54,25.37,26.56,25.97,-0.01,-4.17,0,0
2,24,26.34,25.17,0.6,-2.72,0,0
0.54,24,26.1,25.05,0.65,-2.09,0,0
0,24,26.25,25.12,-1.13,-1.09,0,10.21
28.67,24,26.93,25.46,-3.43,0.42,0.28,10.21
34.21,24,27.62,25.81,-4.13,2.07,2.75,10.21
1,24,28.49,26.25,-5.31,3.53,4.08,10.21
0,24,28.98,26.49,-3.63,4.3,5.83,10.21
41.96,24,29.22,26.61,-2.9,4.49,3.43,10.21
43.93,24,29.46,26.73,-3.28,4.06,3.12,10.21
47.88,24,29.52,26.76,-2.57,3.46,4.55,10.21
45.85,24,29.16,26.58,-1.15,2.75,3.25,10.21
3,24,28.87,26.44,-1.33,2.2,2.76,10.21
37.91,24,28.74,26.37,-1.64,1.62,1.17,10.21
5,24,28.24,26.12,-0.04,1.11,0.35,10.21
10.01,28.06,28.1,28.08,-1.34,-2.27,0,0
0,28,28.12,28.06,-1.31,-2.71,0,0
0.54,27.17,27.93,27.55,-0.99,-2.67,0,0
1,26.89,27.76,27.32,-0.85,-2.97,0,0
0.54,26.62,27.58,27.1,-0.71,-3.43,0,0
5,26.32,27.39,26.86,-0.55,-3.82,0,0
0.54,26.06,27.2,26.63,-0.4,-4.18,0,0
0.54,25.83,27,26.41,-0.25,-4.23,0,0
0.54,25.66,26.82,26.24,-0.17,-4.21,0,0
6,25.55,26.65,26.1,-0.09,-3.91,0,0
0.54,25.5,26.51,26,-0.07,-3.54,0,0
0.54,25.5,26.4,25.95,-0.08,-3.08,0,0
0.54,25.66,26.44,26.05,-0.95,-2.27,0,0
0.54,26.34,27.14,26.74,-4.41,-1.32,0,0
5,27.75,28.28,28.02,-7.39,-0.45,0,0
0.54,29.36,29.43,29.39,-7.97,0.39,0,0
0.54,30.63,30.34,30.49,-7.16,1.12,0,0
0.54,31.54,31.15,31.34,-6.96,1.33,0,0
0.54,32.11,31.83,31.97,-6.45,0.87,0,0
5,32.26,32.08,32.17,-5.11,-0.09,0,0
0.54,32.15,32.32,32.24,-5.61,-1.28,0,0
0.54,31.71,32.19,31.95,-4.06,-2.3,0,0
0.54,31.08,31.78,31.43,-2.78,-2.94,0,0
0.54,30.48,31.34,30.91,-2.31,-3.23,0,0
0.54,30.02,31.01,30.52,-2.31,-3.42,0,0
1,29.65,30.73,30.19,-2.2,-3.75,0,0
0.54,29.27,30.46,29.86,-2.01,-4.24,0,0
0.54,28.84,30.16,29.5,-1.75,-4.84,0,0
0.54,28.43,29.88,29.15,-1.51,-5.36,0,0
0.54,28.07,29.58,28.83,-1.27,-5.69,0,0
0.54,27.77,29.29,28.53,-1.05,-5.71,0,0
0.54,27.55,29.04,28.3,-0.91,-5.54,0,0
0,27.39,28.82,28.1,-0.81,-5.27,0,0
0.54,27.05,28.55,27.8,-0.56,-6.12,0,0
1,26.62,28.25,27.44,-0.24,-6.25,0,0
0.54,26.56,28.04,27.3,-0.24,-5.46,0,0
2,26.69,28.01,27.35,-1.39,-4.35,0,0
0.54,27.51,28.86,28.19,-5.88,-3.21,0,0
0,29.06,30.08,29.57,-8.41,-2.39,0,0
0.54,30.54,31.08,30.81,-7.93,-1.59,0,0
0.54,31.62,31.84,31.73,-7.09,-0.89,0,0
0.54,32.41,32.55,32.48,-7.06,-0.45,0,0
0,33.2,33.28,33.24,-7.56,-0.59,0,0
0.54,33.78,34.02,33.9,-8.31,-1.01,0,0
0.54,34.14,34.49,34.31,-7.44,-1.68,0,0
1,33.84,34.23,34.04,-4.25,-2.18,0,0
0.54,33.29,33.93,33.61,-3.9,-2.87,0,0
0.54,32.57,33.4,32.98,-2.59,-3.63,0,0
7,31.9,32.98,32.44,-2.62,-4.51,0,0
0.54,31.18,32.6,31.89,-2.39,-5.3,0,0
0.54,30.61,32.23,31.42,-2.12,-6.12,0,0
0,30.12,31.85,30.99,-1.81,-6.77,0,0
0.54,29.62,31.47,30.54,-1.49,-7.29,0,0
0.54,29.17,31.1,30.13,-1.21,-7.62,0,0
2,28.76,30.72,29.74,-0.93,-7.84,0,0
0.54,28.4,30.36,29.38,-0.68,-7.87,0,0
0.54,28.09,30.02,29.06,-0.47,-7.75,0,0
0.54,27.9,29.73,28.82,-0.34,-7.14,0,0
0,24.01,29.08,26.55,1.77,-3.88,0,0
0.54,24,28.41,26.21,1.84,-3.07,0,0
20.91,24,28.33,26.16,-0.25,-1.87,-0.44,10.21
5,24,29,26.5,-3.75,-0.18,-0.06,10.21
36.09,24,29.74,26.87,-4.46,1.57,1.82,10.21
40.39,24,30.3,27.15,-3.83,3.18,3.74,10.21
0,24,30.57,27.28,-2.51,4.2,6.58,10.21
40.84,24,30.73,27.36,-2.13,4.62,2.57,10.21
42.62,24,30.82,27.41,-1.79,4.47,4.17,10.21
44.5,24,30.79,27.39,-1.53,4.13,5.27,10.21
42.19,24,30.75,27.38,-1.87,3.6,3.83,10.21
1,24,30.65,27.32,-1.53,3.1,3.19,10.21
34.66,24,30.22,27.11,-0.06,2.43,1.35,10.21
31.51,24,29.49,26.75,1.41,1.69,0.48,10.21
10.01,28.23,29.3,28.77,-0.63,-2.12,0,0
0,28.54,29.33,28.94,-0.72,-3.16,0,0
0.54,28.12,29.16,28.64,-0.42,-3.79,0,0
0.54,27.76,28.97,28.36,-0.22,-4.43,0,0
0.54,27.4,28.76,28.08,-0.02,-5.14,0,0
3,27.03,28.52,27.77,0.2,-5.74,0,0
0.54,26.68,28.26,27.47,0.4,-6.17,0,0
0.54,26.4,28.01,27.21,0.55,-6.22,0,0
0.54,26.2,27.78,26.99,0.64,-6.12,0,0
0,26.15,27.58,26.86,0.66,-5.26,0,0
0.54,24,27.23,25.61,1.76,-3.68,0,0
0.54,24,26.83,25.41,1.83,-3.95,0,0
20.74,24,26.83,25.41,0.45,-3.86,-0.59,10.21
2,24,27.25,25.63,-1.68,-2.52,-1.28,10.21
28.3,24,28.21,26.11,-4.46,-0.36,-0.43,10.21
36.68,24,29.06,26.53,-4.32,2.3,2.77,10.21
2,24,29.61,26.8,-3.33,4.34,5.06,10.21
41.29,24,29.94,26.97,-2.75,5.53,4.41,10.21
42.74,24,30.26,27.13,-2.72,5.53,3.95,10.21
46.53,24,30.28,27.14,-1.62,4.99,7.11,10.21
42.95,24,30.01,27.01,-0.83,3.98,4.68,10.21
39.53,24,29.59,26.8,-0.2,3.07,3.92,10.21
35.67,24,29.32,26.66,-0.44,2.13,0.98,10.21
31.91,24,28.78,26.39,0.84,1.49,0.5,10.21
10.01,28.5,28.66,28.58,-0.85,-2.16,0,0
0.54,28.49,28.74,28.61,-0.91,-2.45,0,0
0.54,27.86,28.59,28.23,-0.6,-2.62,0,0
0,27.53,28.43,27.98,-0.42,-3.17,0,0
0.54,27.13,28.24,27.69,-0.22,-4.17,0,0
0.54,26.7,28.02,27.36,0.03,-4.93,0,0
0.54,26.36,27.79,27.07,0.2,-5.46,0,0
0.54,26.13,27.56,26.85,0.33,-5.28,0,0
0,26.02,27.37,26.7,0.35,-5.01,0,0
0.54,25.91,27.2,26.55,0.41,-4.71,0,0
1,24,26.88,25.44,1.36,-3.14,0,0
0.54,24,26.54,25.27,1.4,-2.65,0,0
20.75,24,26.65,25.33,-0.38,-1.59,0,10.21
2,24,27.34,25.67,-3.26,0.01,0.1,10.21
34.5,24,28.33,26.16,-5.23,1.74,2.19,10.21
38.92,24,29.08,26.54,-4.42,3.26,4.49,10.21
0,24,29.53,26.76,-3.02,4.2,6.25,10.21
43.9,24,29.71,26.86,-2.05,4.49,4.01,10.21
45.64,24,29.91,26.96,-2.54,4.23,4.5,10.21
2,24,29.95,26.97,-2.13,3.68,4.63,10.21
46.14,24,29.93,26.97,-2.21,3.04,4.08,10.21
42.34,24,29.75,26.88,-1.55,2.41,2,10.21
37.74,24,29.4,26.7,-0.68,1.76,0.99,10.21
3,24,28.79,26.39,0.6,1.07,0.31,10.21
10.01,27.74,28.62,28.18,-0.94,-2.28,0,0
0.54,27.88,28.61,28.24,-0.96,-3.13,0,0
1,27.41,28.41,27.91,-0.64,-3.55,0,0
5,27.1,28.21,27.65,-0.46,-3.94,0,0
0.54,26.83,28,27.42,-0.32,-4.21,0,0
0.54,26.61,27.81,27.21,-0.21,-4.34,0,0
4,26.42,27.63,27.03,-0.12,-4.43,0,0
0.54,26.23,27.44,26.83,0,-4.46,0,0
0.54,26.03,27.25,26.64,0.11,-4.51,0,0
0.54,25.87,27.08,26.48,0.19,-4.43,0,0
1,23.99,26.76,25.38,1.12,-3.31,0,0
0.54,24,26.42,25.21,1.18,-3.01,0,0
0,24,26.45,25.22,-0.01,-2.08,0,10.21
26.07,24,26.81,25.4,-1.78,-0.24,0.11,10.21
6,24,27.89,25.95,-5.34,1.93,2.19,10.21
5,24,28.82,26.41,-5.22,3.97,5.07,10.21
45.95,24,29.38,26.69,-3.76,5.04,6.27,10.21
46.1,24,29.67,26.84,-2.81,5.2,5.96,10.21
46.45,24,29.79,26.9,-2.24,4.48,2.89,10.21
48.87,24,29.76,26.88,-2.09,3.56,4.14,10.21
47.01,24,29.6,26.8,-1.62,2.67,2.84,10.21
43.91,24,29.23,26.61,-0.85,2.15,2.63,10.21
38.06,24,29.06,26.53,-1.29,1.7,1.01,10.21
32.34,24,28.52,26.26,0.37,1.42,0.43,10.21
10.01,27.73,28.38,28.06,-1.06,-1.54,0,0
0.54,28.03,28.43,28.23,-1.17,-2.08,0,0
0.54,27.61,28.28,27.95,-0.91,-2.31,0,0
0.54,27.34,28.13,27.73,-0.76,-2.69,0,0
0.54,27.04,27.95,27.49,-0.59,-3.28,0,0
0.54,26.71,27.76,27.24,-0.43,-3.74,0,0
0.54,26.46,27.59,27.02,-0.31,-4.15,0,0
0.54,26.22,27.39,26.81,-0.16,-4.23,0,0
0.54,26.03,27.22,26.62,-0.07,-4.36,0,0
0.54,25.95,27.06,26.5,-0.01,-3.84,0,0
0.54,24.01,26.75,25.38,0.91,-2.64,0,0
0.54,24,26.41,25.21,0.99,-2.77,0,0
20.74,24,26.46,25.23,-0.31,-2.14,0,10.21
25.22,24,26.87,25.44,-2.22,-0.38,0.06,10.21
33.89,24,27.9,25.95,-5.36,1.75,2.11,10.21
39.64,24,28.81,26.4,-5.16,3.73,4.72,10.21
44.69,24,29.29,26.64,-3.5,4.7,5.91,10.21
44.58,24,29.58,26.79,-2.95,4.77,3.64,10.21
45.02,24,29.67,26.84,-2.29,4.03,3.44,10.21
45.18,24,29.69,26.85,-2.4,3.33,3.84,10.21
43.31,24,29.66,26.83,-2.34,2.78,4.23,10.21
40.71,24,29.58,26.79,-2.13,2.57,2.88,10.21
37.09,24,29.23,26.62,-0.92,2.16,0.67,10.21
32.47,24,28.64,26.32,0.23,1.48,0.44,10.21
10.01,27.66,28.44,28.05,-1.13,-2.15,0,0
0.54,27.66,28.42,28.04,-1.12,-3.29,0,0
0.54,27.12,28.19,27.66,-0.78,-4,0,0
0.54,26.77,27.99,27.38,-0.59,-4.36,0,0
0.54,26.55,27.79,27.17,-0.47,-4.49,0,0
0.54,26.41,27.6,27.01,-0.38,-4.14,0,0
0.54,26.38,27.45,26.91,-0.37,-3.73,0,0
0.54,26.36,27.32,26.84,-0.35,-3.25,0,0
0.54,26.29,27.2,26.75,-0.32,-3.22,0,0
0.54,25.91,27.03,26.47,-0.1,-4.37,0,0
0.54,25.46,26.79,26.12,0.22,-4.97,0,0
0.54,25.31,26.58,25.95,0.29,-4.63,0,0
0.54,25.29,26.51,25.9,-0.34,-4.29,0,0
0.54,25.73,26.96,26.35,-2.84,-3.45,0,0
0.54,26.8,27.83,27.32,-5.4,-2.64,0,0
0.54,28.26,28.99,28.63,-7.25,-1.79,0,0
0.54,29.27,29.78,29.53,-5.85,-1.27,0,0
0.54,30.1,30.48,30.29,-6,-1.11,0,0
0.54,30.71,31.12,30.92,-5.96,-1.53,0,0
0.54,31.06,31.56,31.31,-5.48,-1.94,0,0
0.54,30.95,31.48,31.22,-3.66,-2.38,0,0
0.54,30.69,31.44,31.07,-3.82,-2.68,0,0
0.54,30.4,31.25,30.82,-3.02,-3.3,0,0
0.54,29.84,30.81,30.32,-1.77,-3.47,0,0
0.54,29.43,30.48,29.95,-1.82,-3.67,0,0
0.54,29.17,30.22,29.7,-1.78,-3.46,0,0
0.54,29.01,30.02,29.52,-1.74,-3.5,0,0
0.54,28.73,29.8,29.26,-1.55,-3.71,0,0
0.54,28.31,29.53,28.92,-1.29,-4.66,0,0
0.54,27.75,29.22,28.48,-0.94,-5.6,0,0
0.54,27.24,28.89,28.07,-0.63,-6.56,0,0
0.54,26.83,28.57,27.7,-0.38,-6.67,0,0
0.54,26.63,28.3,27.46,-0.28,-6.5,0,0
0.54,26.56,28.07,27.31,-0.22,-5.48,0,0
0.54,26.66,27.92,27.29,-0.29,-4.51,0,0
0.54,26.76,27.8,27.28,-0.31,-3.47,0,0
0.54,27.06,27.87,27.47,-1.54,-2.08,0,0
0.54,27.99,28.78,28.39,-5.99,-0.94,0,0
0.54,29.63,30,29.82,-8.12,-0.5,0,0
0.54,30.7,30.87,30.78,-6.97,-0.05,0,0
0.54,31.63,31.64,31.63,-6.96,0.08,0,0
